,hobby,wiki_title,wiki_url,wiki_summary,wiki_categories,hobby_en,hobby_ru,hobby_vector,image_url
0,fire poi,Poi (performance art),https://en.wikipedia.org/wiki/Poi_(performance_art),"Poi is a skill toy. Also Poi refers to both a style of performing art and the equipment used for engaging in poi performance. As a skill toy poi is an object or theatrical prop used for dexterity play or an object manipulation. As a performance art, poi involves swinging tethered weights through a variety of rhythmical and geometric patterns. Poi artists may also sing or dance while swinging their poi. Poi can be made from various materials with different handles, weights, and effects (such as fire).
Poi originated with the Māori people of New Zealand, where it is still practiced today. Poi has also gained a following in many other countries. The expansion of poi culture has led to a significant evolution of the styles practiced, the tools used, and the definition of the word ""poi.""

","All articles needing additional references,All articles with unsourced statements,Articles needing additional references from May 2009,Articles with unsourced statements from January 2021,Commons category link is on Wikidata,Māori words and phrases,Physical activity and dexterity toys,Poi (performance art),Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MusicBrainz instrument identifiers",Fire Poi,Фаер-шоу,"0.0275,0.034,0.0307,0.034,0.0728,0.2735,0.0297,0.0329,0.0383,0.0394,0.0372,0.0275,0.0814,0.0286,0.0383,0.0254,0.0286,0.0297,0.0502,0.0405",https://images.pexels.com/photos/1703314/pexels-photo-1703314.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
1,baton twirling,Baton twirling,https://en.wikipedia.org/wiki/Baton_twirling,Baton twirling is an art involving the manipulation of a metal rod and the performer's body to a coordinated routine. It is similar to rhythmic gymnastics or color guard.,"All Wikipedia articles in need of updating,All articles needing additional references,All articles that may contain original research,Articles containing video clips,Articles needing additional references from January 2017,Articles that may contain original research from March 2009,Articles with multiple maintenance issues,CS1 maint: archived copy as title,Cheerleading,Circus skills,Commons category link from Wikidata,Individual sports,Twirling,Wikipedia articles in need of updating from April 2015,Wikipedia articles with GND identifiers,Wikipedia articles with NDL identifiers",Baton Twirling,Батон твирлинг,"0.0547,0.0391,0.0599,0.0391,0.053,0.0582,0.0582,0.0512,0.053,0.0391,0.1085,0.0391,0.0391,0.0391,0.0564,0.0443,0.0391,0.0391,0.0391,0.0512",https://images.pexels.com/photos/7860314/pexels-photo-7860314.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
2,crochet,Crochet,https://en.wikipedia.org/wiki/Croquet,"Croquet (French: croquet;  (UK) or  (US)) is a sport that involves hitting wooden or plastic balls with a mallet through hoops (often called ""wickets"" in the United States) embedded in a grass playing court.
Its international governing body is the World Croquet Federation.","All articles needing additional references,All articles with unsourced statements,Articles containing French-language text,Articles containing Middle English (1100-1500)-language text,Articles containing Middle French (ca. 1400-1600)-language text,Articles needing additional references from July 2021,Articles with short description,Articles with unsourced statements from June 2020,CS1 errors: URL,CS1 maint: postscript,Commons link is on Wikidata,Croquet,Former Summer Olympic sports,Lawn games,Pages using infobox sport with unknown parameters,Short description is different from Wikidata,Sports originating in England,Sports originating in the United Kingdom,Use dmy dates from August 2020,Wikipedia articles needing page number citations from July 2016",Crochet,Вязание крючком,"0.0385,0.0385,0.0402,0.0402,0.0385,0.0436,0.0624,0.0419,0.0573,0.0385,0.0385,0.0658,0.0385,0.0402,0.0385,0.0385,0.0385,0.1803,0.0436,0.0385",https://images.pexels.com/photos/3772488/pexels-photo-3772488.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
3,ice hockey,Ice hockey,https://en.wikipedia.org/wiki/Ice_hockey,"Ice hockey is a contact team sport played on ice, usually in an indoor or outdoor rink, in which two teams of skaters use their sticks to shoot a vulcanized rubber puck into their opponent's net to score goals. The sport is known to be fast-paced and physical, with teams usually fielding six players at a time: one goaltender to stop the puck from going into their own net, two defensemen, and three forwards who skate the span of the ice trying to control the puck and score goals against the opposing team.
Ice hockey is most popular in Canada, Eastern Europe, Northern Europe, and the United States. Ice hockey is the official national winter sport of Canada. In addition, ice hockey is the most popular winter sport in Belarus, Croatia, the Czech Republic, Finland, Latvia, Russia, Slovakia, Sweden, and Switzerland. North America's National Hockey League (NHL) is the highest level for men's ice hockey and the strongest professional ice hockey league in the world. The Kontinental Hockey League (KHL) is the highest league in Russia and much of Eastern Europe. The International Ice Hockey Federation (IIHF) is the formal governing body for international ice hockey, with the IIHF managing international tournaments and maintaining the IIHF World Ranking. Worldwide, there are ice hockey federations in 76 countries.In Canada, the United States, Nordic countries, and some other European countries the sport is known simply as hockey; the name ""ice hockey"" is used in places where ""hockey"" more often refers to field hockey, such as countries in South America, Asia, Africa, Australasia, and some European countries including the United Kingdom, Ireland and the Netherlands.Ice hockey is believed to have evolved from simple stick and ball games played in the 18th and 19th centuries in the United Kingdom, Ireland, Scotland and elsewhere. These games were brought to North America and several similar winter games using informal rules were developed, such as shinny and ice polo. The contemporary sport of ice hockey was developed in Canada, most notably in Montreal, where the first indoor hockey game was played on March 3, 1875. Some characteristics of that game, such as the length of the ice rink and the use of a puck, have been retained to this day. Amateur ice hockey leagues began in the 1880s, and professional ice hockey originated around 1900. The Stanley Cup, emblematic of ice hockey club supremacy, was first awarded in 1893 to recognize the Canadian amateur champion and later became the championship trophy of the NHL. In the early 1900s, the Canadian rules were adopted by the Ligue Internationale de Hockey Sur Glace, the precursor of the IIHF, and the sport was played for the first time at the Olympics during the 1920 Summer Olympics. Despite women having played since the beginnings of the game, women's hockey was not professionally organised until much later, the first IIHF Women's World Championship being held in 1990 and being introduced into the Olympics in 1998.
In international competitions, the national teams of six countries (the Big Six) predominate: Canada, Czech Republic, Finland, Russia, Sweden and the United States. Of the 69 medals awarded all-time in men's competition at the Olympics, only seven medals were not awarded to one of those countries (or two of their precursors, the Soviet Union for Russia, and Czechoslovakia for the Czech Republic). In the annual Ice Hockey World Championships, 177 of 201 medals have been awarded to the six nations. Teams outside the Big Six have won only five medals in either competition since 1953. The World Cup of Hockey is organized by the National Hockey League and the National Hockey League Players' Association (NHLPA), unlike the annual World Championships and quadrennial Olympic tournament, both run by the International Ice Hockey Federation. World Cup games are played under NHL rules and not those of the IIHF, and the tournament occurs prior to the NHL pre-season, allowing for all NHL players to be available, unlike the World Championships, which overlaps with the NHL's Stanley Cup playoffs. Furthermore, all 12 Women's Olympic and 36 IIHF World Women's Championship medals were awarded to one of the Big Six. The Canadian national team or the United States national team have between them won every gold medal of either series.","All Wikipedia articles written in Canadian English,All articles lacking reliable references,All articles with dead external links,Articles lacking reliable references from July 2021,Articles with dead external links from July 2018,Articles with permanently dead external links,Articles with short description,CS1: Julian–Gregorian uncertainty,CS1 Dutch-language sources (nl),CS1 maint: archived copy as title,Canadian culture,Commons category link from Wikidata,Former Summer Olympic sports,Hockey,Ice hockey,Ice skating,Ice sports,National symbols of Canada,Pages with missing ISBNs,Short description is different from Wikidata,Sports originating in Canada,Team sports,Use Canadian English from September 2016,Use mdy dates from May 2018,Variations of hockey,Webarchive template wayback links,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NDL identifiers,Wikipedia pending changes protected pages,Winter Olympic sports,Winter sports",Ice hockey,Хоккей,"0.0124,0.0134,0.0465,0.0236,0.0134,0.0168,0.0334,0.0241,0.0192,0.0202,0.0285,0.0119,0.0509,0.0129,0.0124,0.0124,0.0129,0.5582,0.0441,0.0324",https://images.pexels.com/photos/40564/ice-hockey-players-pass-forward-40564.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
4,wrestling,Wrestling,https://en.wikipedia.org/wiki/Wrestling,"Wrestling is a combat sport involving grappling-type techniques such as clinch fighting, throws and takedowns, joint locks, pins and other grappling holds. The sport can either be genuinely competitive or sportive entertainment (see professional wrestling). Wrestling comes in different types such as folkstyle, freestyle, Greco-Roman, catch, submission, judo, sambo and others. A wrestling bout is a physical competition, between two (occasionally more) competitors or sparring partners, who attempt to gain and maintain a superior position. There are a wide range of styles with varying rules with both traditional historic and modern styles. Wrestling techniques have been incorporated into other martial arts as well as military hand-to-hand combat systems.
The term wrestling is attested in late Old English, as wræstlunge (glossing palestram).","All articles with unsourced statements,Ancient Olympic Games,Articles containing Tatar-language text,Articles containing Turkish-language text,Articles containing Uzbek-language text,Articles needing more detailed references,Articles with short description,Articles with unsourced statements from March 2007,Commons category link is locally defined,Commons category link is on Wikidata,Lang and lang-xx code promoted to ISO 639-1,Mixed martial arts styles,Short description matches Wikidata,Summer Olympic sports,Webarchive template wayback links,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with NARA identifiers,Wikipedia articles with NDL identifiers,Wikipedia indefinitely semi-protected pages,Wrestling",Wrestling,Реслинг,"0.0245,0.0235,0.0355,0.0365,0.0405,0.0936,0.2828,0.0235,0.0235,0.0305,0.0606,0.0255,0.0305,0.0225,0.0315,0.0375,0.0395,0.0786,0.0235,0.0355",https://images.pexels.com/photos/2167890/pexels-photo-2167890.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
5,strategy games,Strategy game,https://en.wikipedia.org/wiki/Strategy_game,"A strategy game or strategic game is a game (e.g. a board game) in which the players' uncoerced, and often autonomous, decision-making skills have a high significance in determining the outcome. Almost all strategy games require internal decision tree-style thinking, and typically very high situational awareness.

Strategy games are also seen as a descendant of war games, and define strategy in terms of the context of war, but this is more partial. A strategy game is a game that relies primarily on strategy, and when it comes to defining what strategy is, two factors need to be taken into account: its complexity and game-scale actions, such as each placement in a Total War series. The definition of a strategy game in its cultural context should be any game that belongs to a tradition that goes back to war games, contains more strategy than the average video game, contains certain gameplay conventions, and is represented by a particular community. Although war is dominant in strategy games, it is not the whole story.

","All articles with unsourced statements,Articles with short description,Articles with unsourced statements from April 2008,Articles with unsourced statements from April 2018,Short description is different from Wikidata,Strategy games,Webarchive template wayback links,Wikipedia articles with GND identifiers",strategy games,Стратегические игры,"0.0671,0.0449,0.0273,0.0208,0.0366,0.0384,0.2282,0.0255,0.0236,0.0431,0.0208,0.0319,0.0301,0.0449,0.0208,0.0671,0.0292,0.131,0.0227,0.0458",https://images.pexels.com/photos/5691871/pexels-photo-5691871.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
6,archaeology,Archaeology,https://en.wikipedia.org/wiki/Archaeology,"Archaeology or archeology is the study of human activity through the recovery and analysis of material culture. Archaeology is often considered a branch of socio-cultural anthropology, but archaeologists also draw from biological, geological, and environmental systems through their study of the past.  The archaeological record consists of artifacts, architecture, biofacts or ecofacts and cultural landscapes. Archaeology can be considered both a social science and a branch of the humanities. In Europe it is often viewed as either a discipline in its own right or a sub-field of other disciplines, while in North America archaeology is a sub-field of anthropology.Archaeologists study human prehistory and history, from the development of the first stone tools at Lomekwi in East Africa 3.3 million years ago up until recent decades. Archaeology is distinct from palaeontology, which is the study of fossil remains. Archaeology is particularly important for learning about prehistoric societies, for which, by definition, there are no written records. Prehistory includes over 99% of the human past, from the Paleolithic until the advent of literacy in societies across the world. Archaeology has various goals, which range from understanding culture history to reconstructing past lifeways to documenting and explaining changes in human societies through time. Derived from the Greek, the term archaeology literally means “the study of ancient history.”The discipline involves surveying, excavation and eventually analysis of data collected to learn more about the past. In broad scope, archaeology relies on cross-disciplinary research.
Archaeology developed out of antiquarianism in Europe during the 19th century, and has since become a discipline practiced across the world. Archaeology has been used by nation-states to create particular visions of the past. Since its early development, various specific sub-disciplines of archaeology have developed, including maritime archaeology, feminist archaeology and archaeoastronomy, and numerous different scientific techniques have been developed to aid archaeological investigation. Nonetheless, today, archaeologists face many problems, such as dealing with pseudoarchaeology, the looting of artifacts, a lack of public interest, and opposition to the excavation of human remains.","All Wikipedia articles written in Canadian English,All articles that may contain original research,All articles with dead external links,All articles with unsourced statements,Anthropology,Archaeology,Articles containing Ancient Greek (to 1453)-language text,Articles that may contain original research from March 2014,Articles with dead external links from April 2020,Articles with permanently dead external links,Articles with short description,Articles with unsourced statements from April 2021,Articles with unsourced statements from October 2007,CS1: long volume value,CS1 Spanish-language sources (es),CS1 maint: multiple names: authors list,Commons category link is on Wikidata,Pages using multiple image with auto scaled images,Short description is different from Wikidata,Use Canadian English from August 2016,Use dmy dates from April 2018,Wikipedia articles needing clarification from April 2021,Wikipedia articles with BNE identifiers,Wikipedia articles with BNF identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with HDS identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NARA identifiers,Wikipedia articles with NDL identifiers,Wikipedia articles with NKC identifiers,Wikipedia indefinitely move-protected pages",Archaeology,Археология,"0.0436,0.0169,0.0158,0.2619,0.0481,0.0247,0.0197,0.0231,0.0319,0.0608,0.0208,0.0169,0.2353,0.0186,0.0214,0.0353,0.0369,0.0147,0.0258,0.0275",https://images.pexels.com/photos/3722335/pexels-photo-3722335.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
7,water sports,List of water sports,https://en.wikipedia.org/wiki/List_of_water_sports,,"All articles lacking in-text citations,Articles lacking in-text citations from November 2019,Articles with short description,Commons category link is on Wikidata,Short description is different from Wikidata,Water sport-related lists,Water sports,Wikipedia articles with BNE identifiers,Wikipedia articles with GND identifiers,Wikipedia articles with LCCN identifiers,Wikipedia articles with MA identifiers,Wikipedia articles with NARA identifiers,Wikipedia articles with multiple identifiers",Water sports,Водный спорт,"0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05",https://images.pexels.com/photos/3347328/pexels-photo-3347328.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
8,deltiology,Deltiology,https://en.wikipedia.org/wiki/Deltiology,"Deltiology (from Greek δελτίον, deltion, diminutive of δέλτος, deltos, ""writing tablet, letter""; and -λογία, -logia) is the study and collection of postcards. Professor Randall Rhoades of Ashland, Ohio, coined a word in 1945 that became the accepted description of the study of picture postcards. It initially took about 20 years for the name to appear in a dictionary. Compared to philately, the identification of a postcard's place and time of production can often be an impossible task because postcards, unlike stamps, are produced in a decentralised, unregulated manner. For this reason, some collectors choose to limit their acquisitions to cards by specific artists and publishers, or by time and location.","Articles containing Ancient Greek (to 1453)-language text,Articles with short description,CS1 Russian-language sources (ru),Collecting,Commons category link is on Wikidata,Postcards,Short description matches Wikidata,Webarchive template wayback links,Wikipedia articles with GND identifiers,Wikipedia articles with MA identifiers",Deltiology,Филокартия,"0.0543,0.0543,0.0377,0.053,0.0377,0.0326,0.0479,0.0313,0.0517,0.0415,0.0287,0.03,0.1117,0.039,0.039,0.1398,0.0466,0.0287,0.0543,0.0402",
9,thematic games,Thematic elements,https://en.wikipedia.org/wiki/Thematic_elements,"""Thematic elements"", or ""thematic material"", is a term used by the Motion Picture Association of America and other film ratings boards to highlight elements of a film that do not fit into the traditional categories such as violence, sex, drug use, nudity, and language, but may also involve some degree of objectionable content.  This rating reason raises a warning to parents and guardians to learn more about a film before they allow their children to view it.In Australia, the term is equivalent to ""adult themes"", ""mature themes"" or just ""themes"" (which has been in use since 2005).","All articles needing additional references,All stub articles,Articles needing additional references from May 2012,Film terminology stubs,Film theory",thematic games,Тематические игры,"0.0636,0.0599,0.0685,0.0389,0.0549,0.0364,0.0463,0.0401,0.0895,0.0278,0.0389,0.034,0.0537,0.0488,0.0389,0.0389,0.087,0.0278,0.0278,0.0784",https://images.pexels.com/photos/7046685/pexels-photo-7046685.jpeg?auto=compress&cs=tinysrgb&h=650&w=940
